ano,cpi_0
1990-12-31,0.9585876980529493
1991-12-31,1.9360808611183926
1992-12-31,3.2614411594393578
1993-12-31,5.025818627202535
1994-12-31,7.274482327953343
1995-12-31,10.347640430012406
1996-12-31,13.280601226874422
1997-12-31,15.912547442819742
1998-12-31,17.632850022891784
1999-12-31,18.63063799812123
2000-12-31,19.518168937935506
2001-12-31,20.370178269342347
2002-12-31,23.215344516943798
2003-12-31,27.714111660587104
2004-12-31,30.252060556621803
2005-12-31,31.673688798476096
2006-12-31,33.70045755918523
2007-12-31,36.43498481859293
2008-12-31,39.30423573523537
2009-12-31,42.07986493314547
2010-12-31,44.899058391803855
2011-12-31,48.53308724574155
2012-12-31,52.463182989195246
2013-12-31,56.961971776829344
2014-12-31,62.018687276502504
2015-12-31,67.39339408620756
2016-12-31,73.88972199792366
2017-12-31,78.48425423924333
2018-12-31,84.45418541162
2019-12-31,91.11085476986969
2020-12-31,100.0
2021-12-31,107.74791402314763
2022-12-31,117.55769337552971
2023-12-31,124.45727618828859
2024-12-31,130.49261240963784
