departamento,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Artigas,1.5467294571265167,1.5423356634353556,1.5379124551745897,1.5334860560068848,1.5290422085834112,1.5245823654722899,1.5201059277056101,1.5161646203720267,1.5122480658442334,1.5083445128539603,1.5044768030762916,1.500632878366376,1.496813351359061,1.4930171644225645,1.4892330252565489,1.4854834563047192,1.4817571278761725,1.4780530226557123,1.4781963729556542,1.403030308,1.4265617450285313,1.5345048259386198,1.4736658010294734,1.469972383058799,1.4771650240738585,1.461557546285929,1.4610982852957655,1.460630212382405,1.4601633296930145,1.4597098463151565,1.4592465669100965,1.4587844526737639,1.4583366443597316,1.4578795807129212,1.457260820494428
Canelones,8.501207686260551,8.566117221219677,8.631624432870726,8.69775368150265,8.764498110851166,8.83186876380415,8.89984008191777,8.945586693586382,8.991033877713061,9.03621210041081,9.08109286499463,9.125704643747316,9.170043226463475,9.214093968553556,9.257888634585756,9.301398781443782,9.344655987669743,9.387645407155965,9.335324047719942,9.305540555,9.352647868187054,9.31677219262733,9.552879367191055,9.986006229399441,10.136299290506816,9.782358366499597,9.838106875620811,9.893627724495307,9.948922450358397,10.003975208484427,10.058796996008683,10.113396702517852,10.167766560274906,10.221913609879563,10.275088412787916
Cerro Largo,1.8352595743156965,1.8356171945951267,1.8359458156474133,1.8362340036492713,1.8364915525352157,1.8366949021382342,1.8368674182974387,1.8370562848190986,1.8372560878125315,1.837443185796299,1.8376284875839284,1.8378243325250403,1.8380076154313603,1.8381894535492913,1.8383826906394678,1.8385622589484205,1.8387410360500784,1.838929894739226,1.9264823799422057,1.809929641,1.7958095140359165,1.8404246889263831,1.8500866020370017,1.8144339310725777,1.836542165091827,1.837843378908028,1.8373961518873945,1.836951696821022,1.8365082002461695,1.8360665525369295,1.8356264444970287,1.8351986784758683,1.8347624885952385,1.8343283975228948,1.8334013562754905
Colonia,4.866445584814644,4.8642378736453695,4.861982744662866,4.859669637613444,4.857295297125706,4.854873920052351,4.852404069198787,4.850719491656797,4.849033371237917,4.847370805453813,4.845717704176038,4.8440624255850535,4.84243028921041,4.840807794587674,4.839184297623053,4.837581746481659,4.835989456957288,4.834394218683012,4.985353232850439,5.184263546,4.651308575093027,4.726988552810921,4.745086886094901,4.800256207192011,4.743225526237161,4.848161599373311,4.853110301266214,4.858051100942525,4.862958476765574,4.867845394531174,4.872711542558948,4.877556166373885,4.882393851127331,4.887200617666264,4.891438796291151
Durazno,1.3929357053232263,1.3917635494052059,1.3905770025211939,1.3893521621435745,1.3881122367203766,1.386858010628151,1.3855643558698592,1.3846849372602792,1.3838231643314078,1.3829551260703088,1.3820920821295892,1.3812462071345666,1.3803940254585363,1.3795469041695676,1.378717318140254,1.377880554062407,1.377049122101573,1.3762341475826283,1.3191845879604245,1.317905327,1.3452258700269046,1.4059325229437627,1.393261621027865,1.3815227850552612,1.4613699250730687,1.378735592750913,1.3801514381871591,1.3815619606168026,1.3829774657539446,1.3843756169257366,1.3857791793526901,1.3871649047089216,1.388557072863168,1.389932328325815,1.390647031475075
Flores,0.7715603065453521,0.7710919967558141,0.7706237013156289,0.7701310184500311,0.7696379821665796,0.7691203769022105,0.7686024652632055,0.7682842753748198,0.7679680838316136,0.7676540618215797,0.7673418101213079,0.7670314069734633,0.7667231168981312,0.7664166394493019,0.7661003388429901,0.7657976581741932,0.7654969241643377,0.7651978429273681,0.7818643679765442,0.769636685,0.7236560920144731,0.7863200519685473,0.7647152670152942,0.782673147031307,0.7357459030367873,0.7605114191485061,0.7596406543955359,0.7587737983725338,0.7579103000209647,0.7570504014546005,0.7561939936799865,0.7553522888716779,0.7545030341055678,0.753657375734047,0.7527558728870692
Florida,1.959733559408679,1.9575379819377723,1.9553158874044223,1.9530807389359879,1.950806088833585,1.9485177143526353,1.9461904313010938,1.9442799136978564,1.9423692722013268,1.9404831811438872,1.9385963111208346,1.936732941003566,1.93486965297764,1.9330295737371443,1.9311894291930316,1.9293719646619498,1.9275540518520233,1.9257585479937074,2.00067778193998,1.8954858800000003,1.8270773580365416,1.917976194923281,1.911648921038233,1.8892214130755691,1.9950635040997533,1.9159560516206393,1.9152952875159355,1.9146264854543757,1.9139597814364357,1.9133073097528837,1.9126458930881416,1.9119865339678699,1.9113422054400495,1.9106894108192378,1.90970244660316
Lavalleja,1.724952522546411,1.720874467990714,1.716786054371858,1.7127008111332598,1.7085925713169008,1.7044871742660248,1.700371836441405,1.6959567627386734,1.6915815398827174,1.6872220812221208,1.6828893724946066,1.6785833963435888,1.674316547524728,1.670063923523612,1.6658379507120489,1.6616375094199196,1.6574748422262338,1.6533253819790121,1.694865715949154,1.608030538,1.6352459940327049,1.6833863589326643,1.5946811410318933,1.6290573050651624,1.62319708808116,1.6271329388761258,1.6246916359651875,1.6222611489509098,1.6198402186451446,1.6174293808069335,1.6150283771417264,1.6126481654106586,1.6102672109789404,1.6078962923392497,1.605682059687872
Maldonado,4.9358243312594885,4.957271107752571,4.978976256231891,5.000934804465399,5.023148785615579,5.0456252710324225,5.068367739438481,5.095608429088652,5.122665914940662,5.149567117330028,5.176299413983652,5.202852851439002,5.229254617783681,5.255492609859451,5.2815580604564865,5.307474118695906,5.333231962189497,5.358819579553821,5.152485353845426,5.382193567,5.530439047110609,5.539078605778437,5.632621771112652,5.556513623222261,5.485009914274251,5.599956395733856,5.63466502307462,5.669218771437859,5.703637758556279,5.737913258474791,5.772045500292864,5.806033997529915,5.83987295532283,5.873584060042241,5.911650485349142
Montevideo,51.786646461157126,51.72064645413646,51.65425621925365,51.58750028186502,51.52035723292424,51.45282747746005,51.3849239280024,51.326116062032476,51.26768965290688,51.20962709807243,51.15192881537305,51.09457249902637,51.03759388999497,50.98095068290408,50.924678357382255,50.86873015371667,50.81314138760658,50.75787068823766,49.77896455850663,51.07211947,50.99552464101992,50.28822158798847,50.7557193510151,50.10065481200403,50.49152213252458,50.1260200933443,50.02356907804659,49.92156032217491,49.819964282070046,49.71879177945237,49.618035829729976,49.51769672306972,49.4177792265932,49.31827905420092,49.21913183524307
