"Indicador: Participación en el PIB nacional (%)"
"Dimensión/es:  /Actividad económica y productiva"
"Sub dimensión/es:  /Actividad económica y productiva"
"Año: 2008"

;Total
"Litoral Norte";7,114427339
Noreste;6,172729279
Centro;4,101726739
"Litoral Sur";10,42108577
Este;10,1010892
Metropolitana;62,08894168
Montevideo;49,77896456
Artigas;1,478196373
Canelones;9,335324048
"Cerro Largo";1,92648238
Colonia;4,985353233
Durazno;1,319184588
Flores;0,781864368
Florida;2,000677782
Lavalleja;1,694865716
Maldonado;5,152485354
Paysandú;2,799268787
"Río Negro";3,152205248
Rivera;2,124328847
Rocha;1,814377708
Salto;2,836962179
"San José";2,974653077
Soriano;2,283527284
Tacuarembó;2,121918053
"Treinta y Tres";1,439360418
"Total País";100


"Fuente: Observatorio Territorio Uruguay - OPP en base a BCU, INE y otros"
"Base: No existe información asociada"
"Observaciones: Sin observaciones"
