"Indicador: Participación en el PIB nacional (%)"
"Dimensión/es:  /Actividad económica y productiva"
"Sub dimensión/es:  /Actividad económica y productiva"
"Año: 2011"

;Total
"Litoral Norte";7,187924338
Noreste;5,975583674
Centro;4,11022877
"Litoral Sur";9,832084968
Este;10,38198927
Metropolitana;62,51218898
Montevideo;50,28822159
Artigas;1,534504826
Canelones;9,316772193
"Cerro Largo";1,840424689
Colonia;4,726988553
Durazno;1,405932523
Flores;0,786320052
Florida;1,917976195
Lavalleja;1,683386359
Maldonado;5,539078606
Paysandú;2,896134982
"Río Negro";2,622937614
Rivera;2,181958545
Rocha;1,894288251
Salto;2,757284529
"San José";2,907195203
Soriano;2,482158801
Tacuarembó;1,953200439
"Treinta y Tres";1,265236054
"Total País";100


"Fuente: Observatorio Territorio Uruguay - OPP en base a BCU, INE y otros"
"Base: No existe información asociada"
"Observaciones: Sin observaciones"
