"Indicador: Participación en el PIB nacional (%)"
"Dimensión/es:  /Actividad económica y productiva"
"Sub dimensión/es:  /Actividad económica y productiva"
"Año: 2012"

;Total
"Litoral Norte";7,073484633
Noreste;5,846105252
Centro;4,06962581
"Litoral Sur";9,470136867
Este;10,30887129
Metropolitana;63,23177615
Montevideo;50,75571935
Artigas;1,473665801
Canelones;9,552879367
"Cerro Largo";1,850086602
Colonia;4,745086886
Durazno;1,393261621
Flores;0,764715267
Florida;1,911648921
Lavalleja;1,594681141
Maldonado;5,632621771
Paysandú;2,867387294
"Río Negro";2,337201378
Rivera;2,115926036
Rocha;1,857350729
Salto;2,732431538
"San José";2,923177428
Soriano;2,387848603
Tacuarembó;1,880092614
"Treinta y Tres";1,224217651
"Total País";100


"Fuente: Observatorio Territorio Uruguay - OPP en base a BCU, INE y otros"
"Base: No existe información asociada"
"Observaciones: Sin observaciones"
