"Indicador: Participación en el PIB nacional (%)"
"Dimensión/es:  /Actividad económica y productiva"
"Sub dimensión/es:  /Actividad económica y productiva"
"Año: 2014"

;Total
"Litoral Norte";6,743527103
Noreste;5,958494858
Centro;4,192179331
"Litoral Sur";9,151076254
Este;10,24955189
Metropolitana;63,70517057
Montevideo;50,49152213
Artigas;1,477165024
Canelones;10,13629929
"Cerro Largo";1,836542165
Colonia;4,743225526
Durazno;1,461369925
Flores;0,735745903
Florida;1,995063504
Lavalleja;1,623197088
Maldonado;5,485009914
Paysandú;2,604989809
"Río Negro";2,171295857
Rivera;2,171438096
Rocha;1,891450839
Salto;2,66137227
"San José";3,077349138
Soriano;2,236554871
Tacuarembó;1,950514598
"Treinta y Tres";1,249894048
"Total País";100


"Fuente: Observatorio Territorio Uruguay - OPP en base a BCU, INE y otros"
"Base: No existe información asociada"
"Observaciones: Sin observaciones"
