"Indicador: Participación en el PIB nacional (%)"
"Dimensión/es:  /Actividad económica y productiva"
"Sub dimensión/es:  /Actividad económica y productiva"
"Año: 2010"

;Total
"Litoral Norte";6,891575997
Noreste;5,956603236
Centro;3,89595932
"Litoral Sur";9,744136461
Este;10,21267727
Metropolitana;63,29904771
Montevideo;50,99552464
Artigas;1,426561745
Canelones;9,352647868
"Cerro Largo";1,795809514
Colonia;4,651308575
Durazno;1,34522587
Flores;0,723656092
Florida;1,827077358
Lavalleja;1,635245994
Maldonado;5,530439047
Paysandú;2,710792328
"Río Negro";2,85361724
Rivera;2,188550954
Rocha;1,796003308
Salto;2,754221924
"San José";2,950875201
Soriano;2,239210647
Tacuarembó;1,972242768
"Treinta y Tres";1,250988925
"Total País";100


"Fuente: Observatorio Territorio Uruguay - OPP en base a BCU, INE y otros"
"Base: No existe información asociada"
"Observaciones: Sin observaciones"
