"Indicador: Participación en el PIB nacional (%)"
"Dimensión/es:  /Actividad económica y productiva"
"Sub dimensión/es:  /Actividad económica y productiva"
"Año: 2013"

;Total
"Litoral Norte";6,886947745
Noreste;5,860884934
Centro;4,053417345
"Litoral Sur";9,605919191
Este;10,41957445
Metropolitana;63,17325633
Montevideo;50,10065481
Artigas;1,469972383
Canelones;9,986006229
"Cerro Largo";1,814433931
Colonia;4,800256207
Durazno;1,381522785
Flores;0,782673147
Florida;1,889221413
Lavalleja;1,629057305
Maldonado;5,556513623
Paysandú;2,73000415
"Río Negro";2,338707107
Rivera;2,162466554
Rocha;1,927750244
Salto;2,686971212
"San José";3,086595289
Soriano;2,466955878
Tacuarembó;1,883984449
"Treinta y Tres";1,30625328
"Total País";100


"Fuente: Observatorio Territorio Uruguay - OPP en base a BCU, INE y otros"
"Base: No existe información asociada"
"Observaciones: Sin observaciones"
