,cpi_0
2004-10-31,25.624308452150117
2004-11-30,25.55709631971599
2004-12-31,25.57992308167475
2005-01-31,25.6763027432784
2005-02-28,25.675034589836244
2005-03-31,25.785363939303583
2005-04-30,26.050408008713628
2005-05-31,26.055480622482246
2005-06-30,26.12522906180068
2005-07-31,26.46128972397131
2005-08-31,26.517088475426057
2005-09-30,26.723797486497045
2005-10-31,26.80749561367917
2005-11-30,26.77579177762533
2005-12-31,26.834126835964387
2006-01-31,27.200623180746696
2006-02-28,27.381969122974624
2006-03-31,27.4694717104832
2006-04-30,27.612773049446528
2006-05-31,27.786510071021528
2006-06-30,27.875280811972264
2006-07-31,28.112425505654933
2006-08-31,28.33435235803176
2006-09-30,28.48653077109016
2006-10-31,28.42946386619326
2006-11-30,28.43960909373048
2006-12-31,28.54613398287136
2007-01-31,29.052127206290542
2007-02-28,29.22966868819201
2007-03-31,29.492176450717743
2007-04-30,29.85233202828929
2007-05-31,30.079331494434733
2007-06-30,30.11991240458364
2007-07-31,30.36847047924569
2007-08-31,30.89348600429717
2007-09-30,31.02156950195466
2007-10-31,30.95055290919408
2007-11-30,30.87953631643349
2007-12-31,30.973379671152838
2008-01-31,31.214328825161967
2008-02-29,31.499663349646468
2008-03-31,31.85981892721801
2008-04-30,31.965075662916732
2008-05-31,32.24406942019047
2008-06-30,32.65748744233245
2008-07-31,32.80332508818009
2008-08-31,33.13684944346642
2008-09-30,33.33594953388449
2008-10-31,33.44627888335183
2008-11-30,33.5086339881025
2008-12-31,33.820384148787056
2009-01-31,34.087964525081404
2009-02-28,33.996657477246366
2009-03-31,34.257897086329955
2009-04-30,34.24394739846626
2009-05-31,34.38344427710314
2009-06-30,34.77403553728636
2009-07-31,35.11770512010991
2009-08-31,35.5501454438842
2009-09-30,35.63257541762416
2009-10-31,35.628770957297704
2009-11-30,35.64906141237216
2009-12-31,35.81645766673639
2010-01-31,36.15125017546488
2010-02-28,36.35288657276725
2010-03-31,36.69782430903295
2010-04-30,36.76250013458277
2010-05-31,36.82083519292184
2010-06-30,36.9248237751784
2010-07-31,37.32556026289885
2010-08-31,37.77195027453683
2010-09-30,37.88481593088847
2010-10-31,38.12830139178192
2010-11-30,38.09913386261239
2010-12-31,38.29950210647261
2011-01-31,38.77824588280352
2011-02-28,39.142091152815006
2011-03-31,39.69743393335886
2011-04-30,39.83148219073151
2011-05-31,39.96170049789352
2011-06-30,40.10340865568747
2011-07-31,40.4059747223286
2011-08-31,40.63194178475679
2011-09-30,40.83875909613175
2011-10-31,41.12983531214094
2011-11-30,41.30218307162007
2011-12-31,41.59325928762926
2012-01-31,41.89965530448104
2012-02-29,42.24818077364994
2012-03-31,42.665645346610496
2012-04-30,43.0141708157794
2012-05-31,43.18268862504788
2012-06-30,43.31290693220989
2012-07-31,43.42780543852931
2012-08-31,43.83378016085793
2012-09-30,44.366143240137895
2012-10-31,44.87552661815398
2012-11-30,45.03255457679052
2012-12-31,44.70317885867485
2013-01-31,45.55342780543855
2013-02-28,46.00536193029493
2013-03-31,46.30792799693605
2013-04-30,46.51474530831101
2013-05-31,46.66411336652624
2013-06-30,46.86710072769055
2013-07-31,47.22711604749139
2013-08-31,47.71734967445424
2013-09-30,48.36844121026427
2013-10-31,48.76675603217159
2013-11-30,48.866334737648415
2013-12-31,48.51397931826887
2014-01-31,49.69743393335887
2014-02-28,50.52087322864803
2014-03-31,50.81577939486787
2014-04-30,50.78513979318268
2014-05-31,50.94599770202987
2014-06-30,51.12217541171964
2014-07-31,51.50517043278436
2014-08-31,51.89199540405974
2014-09-30,52.41286863270776
2014-10-31,52.72309459977019
2014-11-30,52.79969360398314
2014-12-31,52.52010723860588
2015-01-31,53.684412102642646
2015-02-28,54.27422443508233
2015-03-31,54.6533895059364
2015-04-30,54.96361547299883
2015-05-31,55.23171198774415
2015-06-30,55.48065875143622
2015-07-31,56.1509000382995
2015-08-31,56.81348142474147
2015-09-30,57.204136346227486
2015-10-31,57.54883186518573
2015-11-30,57.79394867866717
2015-12-31,57.47606281118344
2016-01-31,58.88165453849099
2016-02-29,59.82382229031021
2016-03-31,60.44427422443506
2016-04-30,60.72003063960167
2016-05-31,61.3060130218307
2016-06-30,61.55112983531213
2016-07-31,61.79241669858291
2016-08-31,62.14477211796245
2016-09-30,62.29797012638835
2016-10-31,62.41286863270778
2016-11-30,62.47414783607814
2016-12-31,62.13328226733053
2017-01-31,63.74952125622368
2017-02-28,64.06740712370741
2017-03-31,64.50019149751054
2017-04-30,64.64189965530448
2017-05-31,64.72615855993872
2017-06-30,64.82190731520491
2017-07-31,65.02872462657986
2017-08-31,65.53044810417465
2017-09-30,65.8828035235542
2017-10-31,66.18536959019534
2017-11-30,66.40750670241287
2017-12-31,66.20451934124858
2018-01-31,68.00076599004214
2018-02-28,68.59823822290312
2018-03-31,68.78973573343549
2018-04-30,68.83569513596325
2018-05-31,69.39486786671776
2018-06-30,70.08042895442361
2018-07-31,70.49789352738416
2018-08-31,70.97280735350442
2018-09-30,71.32516277288396
2018-10-31,71.48985063194179
2018-11-30,71.75028724626581
2018-12-31,71.47453083109922
2019-01-31,73.02566066641135
2019-02-28,73.73803140559174
2019-03-31,74.14400612792035
2019-04-30,74.46189199540406
2019-05-31,74.7567981616239
2019-06-30,75.2355419379548
2019-07-31,75.8100344695519
2019-08-31,76.48027575641517
2019-09-30,76.87476062811183
2019-10-31,77.45308310991956
2019-11-30,77.77862887782459
2019-12-31,77.7556491765607
2020-01-31,79.38337801608579
2020-02-29,79.86978169283798
2020-03-31,80.93450785139791
2020-04-30,82.55074684029105
2020-05-31,83.01800076599001
2020-06-30,83.0333205668326
2020-07-31,83.48908464189962
2020-08-31,83.96782841823052
2020-09-30,84.50402144772113
2020-10-31,84.99425507468399
2020-11-30,85.23554193795478
2020-12-31,85.07468402910759
2021-01-31,86.438146304098
2021-02-28,87.1505170432784
2021-03-31,87.686710072769
2021-04-30,88.12715434699344
2021-05-31,88.5292991191114
2021-06-30,89.11911145155108
2021-07-31,89.5825354270394
2021-08-31,90.3446955189582
2021-09-30,90.76216009191876
2021-10-31,91.704327843738
2021-11-30,91.9379548065875
2021-12-31,91.84603600153196
2022-01-31,93.48525469168898
2022-02-28,94.86020681731134
2022-03-31,95.90961317502868
2022-04-30,96.38069705093832
2022-05-31,96.82880122558404
2022-06-30,97.39563385675984
2022-07-31,98.1463040980467
2022-08-31,98.95825354270391
2022-09-30,99.7893527384144
2022-10-31,100.0
2022-11-30,99.719979
2022-12-31,99.4653644
2023-01-31,101.01060772
2023-02-28,102.02405309
2023-03-31,102.94352236
2023-04-30,103.71355287
2023-05-31,103.70316046
2023-06-30,103.22262235
2023-07-31,102.84923498
2023-08-31,103.02606824
2023-09-30,103.6550344
2023-10-31,104.30366481
2023-11-30,104.66158934
2023-12-31,104.55
2024-01-31,106.14984556
2024-02-29,106.83193513
2024-03-31,106.85362308
2024-04-30,107.5252088
2024-05-31,107.95320567
2024-06-30,108.33773567
2024-07-31,108.45313268
2024-08-31,108.76308401
2024-09-30,109.17063321
2024-10-31,109.52643381
2024-11-30,109.92131821
2024-12-31,110.29223212
